,Year,Album Names,Album Type,Record Label(s),Song Name,Medley,Artist(s),Composer(s),Lyricist(s)
0,2003,,,,Just A Little,,許冠傑,　,　
1,2004,,,,Medley,,許冠傑,　,　
2,2003,,,,Medley:咪當我老襯/佛跳牆/錢會繼續嚟,,許冠傑,J.Leiber-M.Stoller,許冠傑;黎彼得
3,2003,,,,Medley:最佳拍檔/跟佢做個Friend/揾嘢做,,許冠傑,許冠傑,許冠傑
4,2003,,,,Medley:為你/這一曲送給您/杯酒當歌,,許冠傑,許冠傑,詹惠風
5,2003,,,,One Tin Soldier,,許冠傑,　,　
6,2003,,,,嗒糖,,許冠傑,　,　
7,2003,,,,親情,,許冠傑,　,　
8,2003,,,,靈魂,,許冠傑,　,　
9,2003,,,,代表作,,許冠傑,　,　
10,1988,,,,橫財夢(Remix Version),,許冠傑,郭小霖,黃百鳴
11,2003,,,,擦鞋仔(Remix),,許冠傑,倫永亮,黎彼得
12,2003,,,,好好先生,,許冠傑,　,　
13,2003,,,,街知巷聞,,許冠傑,　,　
14,0,,,,馬路小英雄(& 張艾嘉),,許冠傑,　,　
15,2003,,,,創新賀年歌,,許冠傑,　,　
16,2004,,,,愛得好緊要,,許冠傑,許冠傑,許冠傑
17,2003,,,,Danger Zone,,許冠傑,　,　
18,2003,,,,Johnny B.Goode,,許冠傑,　,　
19,2003,,,,Medley(十個女仔/Pretty Woman/瑪莉我好鍾意您/尖沙咀Suzie/日本娃娃),,許冠傑,　,　
20,2003,,,,Medley:學生哥/梨渦淺笑/世事如棋/天才白癡夢,,許冠傑,Goldstein;Shire,許冠傑;黎彼得
21,2003,,,,Medley:柔情淚/雙星情歌,,許冠傑,Wise Weisman Lloyd,許冠傑;黎彼得
22,2003,,,,You Make Me Shine,,許冠傑,Rankins;Hui,Rankins;Hui
23,2003,,,,組曲(世事如棋/相思萬千重/斷腸夢/知音夢裏尋/夜半輕私語/梨渦淺笑),,許冠傑,許冠傑,許冠傑;黎彼得
24,2003,,,,露骨,,許冠傑,　,　
25,0,,,,天地人,,許冠傑,許冠傑,周耀輝
26,1988,,,,心思思(Remix Version),,許冠傑,Terry Britten;Lynsey Depaul,林振強
27,2003,,,,一廂情願,,許冠傑,　,　
28,2003,,,,小李飛刀,,許冠傑,顧嘉輝,盧國沾
29,2003,,,,半斤八兩(創業與家版),,許冠傑,許冠傑,許冠傑
30,2003,,,,皇者之風,,許冠傑,　,　
31,2003,,,,浪漫情懷,,許冠傑,　,　
32,2003,,,,最好地方,,許冠傑,　,　
33,2003,,,,簡單真誠,,許冠傑,　,　
34,0,,,,何必再遲疑,,許冠傑,張國榮,張國榮;許冠傑
35,0,,,,難忘往日情,,許冠傑,許冠傑;宇崎龍童;阿木燿子;王文清;顧家煇;黃家駒;中島美雪;秋世浩,許冠傑;鄭國江;潘偉源;黃霑;黃家駒;小美;薛志雄
36,2003,,,,第一首中文Lyrics,,許冠傑,　,　
